vollgas untere drehzahlen;0;0;1;0
treser audi;0;0;1;0
funkeempfänger;0;0;2;1
bekannten 10;0;0;2;0
zumal überbrückungsfahrzeug fast 4 is;0;0;1;0
standard federn;0;0;1;1
konkrete antwort;0;0;1;0
frank-knut;0;0;1;0
cep getriebe;0;0;1;1
vertraut ... alltagsauto;0;0;1;0
mal komplett unterschiedliche werte;0;0;1;0
-1.8s motor;0;0;1;0
ursprung;0;1;1;0
haltbarkeit;0;1;2;0
halbe liter;0;0;1;0
2.8e;0;0;7;1
mario;0;1;1;0
bissel rumschnitzen;0;0;1;0
filtereinheit;0;0;1;1
hwt;0;0;8;1
standard-hauptscheinwerfer;0;0;1;0
silikonöl;0;0;1;0
spidan/gkn;0;0;1;0
günstigen versicherung;0;0;1;0
modelle;1;1;4;1
günstige typenklassen;0;0;1;0
b3 limo;0;0;1;0
universelle funkfernbedienung;0;0;3;1
zündfunke;0;0;5;1
monat;0;1;2;0
benzindruck;0;0;6;1
kurbelwellensensor kabel;0;0;1;1
threadersteller;0;0;1;0
angewohnheit;0;0;1;0
normaler weise;0;1;1;0
übermäßigen co-gehalt;0;0;1;0
lämpchen;0;0;2;1
bügel;1;1;1;1
kompletten umdrehung;0;0;1;0
gruss hartmut;0;0;1;0
angestecktem sensor;0;0;1;0
einzige lager;0;0;1;0
ablösen;1;0;1;0
gruß ben-150;0;0;27;0
wundern;0;1;2;0
erfolg suche arrgyle;0;0;1;0
minuspol;0;0;3;1
letzte junger fahrer;0;0;1;0
zünkerzen;0;0;2;1
z-diode;0;0;1;1
tageskilometerzähler;0;0;3;1
4a;0;0;2;1
skala;0;0;1;0
einzeln;0;0;1;0
allianz;0;0;2;0
sogar hella/behr aufkleber;0;0;1;0
verbesserungsvorschläge;0;0;1;0
forumsteilnehmern;0;0;1;0
x-relais;0;0;1;1
fürn kopf;0;0;1;0
reinigungsanlage;0;0;1;1
alternativen füllungen;0;0;1;0
20 minuten;1;0;1;0
september;1;1;1;0
90%;0;1;1;0
s2 coupé;0;0;2;0
ballern;0;0;1;0
betriebsanleitung;1;0;2;1
einspritzanlagenteile fensterschachtleisten;0;0;1;0
verbohrten geizigen;0;0;1;0
klimatronik;0;0;3;1
neulingsgrüße;0;0;1;0
genau -weil;0;0;1;0
litern;0;1;1;0
werkstatt-rlf;0;0;2;1
instrumente;0;0;4;1
schraubenschlüssel;0;0;1;1
besichtigung;0;0;2;0
unterseite;1;1;2;1
versicherung;0;1;25;1
egal öl- wasserkreislauf;0;0;1;0
nei;0;0;1;0
alten einspritzventilen;0;0;1;0
gegensatz;1;1;4;0
ly1v gobi metallic;0;0;2;0
hof;0;0;5;0
felgen;1;0;19;1
springende werte;0;0;1;1
strom(!)messung multimeter;0;0;1;0
anschlag;1;1;4;1
umpolstern;0;0;1;0
stecknuss;0;0;2;1
